Episode 1/500, Total Reward: -516.852230407811
Episode 2/500, Total Reward: -181.96785785436225
Episode 3/500, Total Reward: -68.15742117063522
Episode 4/500, Total Reward: -271.1304944789258
Episode 5/500, Total Reward: -189.08155205602665
Episode 6/500, Total Reward: -186.4799387564666
Episode 7/500, Total Reward: -288.7895956243153
Episode 8/500, Total Reward: -266.24801630639166
Episode 9/500, Total Reward: -265.16170247845344
Episode 10/500, Total Reward: -250.62047343839896
Episode 11/500, Total Reward: -141.653892653109
Episode 12/500, Total Reward: -246.79992538004188
Episode 13/500, Total Reward: -209.7609477242981
Episode 14/500, Total Reward: -379.6410811160248
Episode 15/500, Total Reward: -263.55857617364416
Episode 16/500, Total Reward: -475.6758260695186
Episode 17/500, Total Reward: -217.8797901224108
Episode 18/500, Total Reward: -224.65287191059227
Episode 19/500, Total Reward: -138.95622690897298
Episode 20/500, Total Reward: -330.34644853190355
Episode 21/500, Total Reward: -316.3001495668651
Episode 22/500, Total Reward: -58.47000034731503
Episode 23/500, Total Reward: -119.88845808116413
Episode 24/500, Total Reward: -181.8615974443013
Episode 25/500, Total Reward: -151.72637868264684
Episode 26/500, Total Reward: -146.57458877373773
Episode 27/500, Total Reward: -395.4905947472921
Episode 28/500, Total Reward: -388.8892078934509
Episode 29/500, Total Reward: -71.76869118428007
Episode 30/500, Total Reward: -342.0297521727397
Episode 31/500, Total Reward: -301.33706972440575
Episode 32/500, Total Reward: -108.16657487692285
Episode 33/500, Total Reward: -415.88962908252006
Episode 34/500, Total Reward: -559.0373408856448
Episode 35/500, Total Reward: -80.91001532644937
Episode 36/500, Total Reward: -110.34422310929519
Episode 37/500, Total Reward: -494.6500142129278
Episode 38/500, Total Reward: -742.2171316769145
Episode 39/500, Total Reward: -103.14757601510844
Episode 40/500, Total Reward: -118.78793104598878
Episode 41/500, Total Reward: -203.0707897268239
Episode 42/500, Total Reward: -301.67166617109683
Episode 43/500, Total Reward: -38.5739891502306
Episode 44/500, Total Reward: -90.57285896971472
Episode 45/500, Total Reward: -77.14191395322601
Episode 46/500, Total Reward: -371.01922974593606
Episode 47/500, Total Reward: -182.18073590511472
Episode 48/500, Total Reward: -303.4646730299073
Episode 49/500, Total Reward: -27.77146101330274
Episode 50/500, Total Reward: -57.75406969556083
Episode 51/500, Total Reward: -425.5084443296875
Episode 52/500, Total Reward: -113.79345007700397
Episode 53/500, Total Reward: -193.17983224895784
Episode 54/500, Total Reward: -149.58868435566723
Episode 55/500, Total Reward: -187.9419003122066
Episode 56/500, Total Reward: -134.88231739835948
Episode 57/500, Total Reward: -191.5993193138001
Episode 58/500, Total Reward: -74.60913301614448
Episode 59/500, Total Reward: -109.06077880995615
Episode 60/500, Total Reward: -119.22530103003396
Episode 61/500, Total Reward: -60.26617634517613
Episode 62/500, Total Reward: -45.011594691312894
Episode 63/500, Total Reward: -157.39590441962952
Episode 64/500, Total Reward: -67.578199524607
Episode 65/500, Total Reward: -297.55184418397096
Episode 66/500, Total Reward: -166.85501631089778
Episode 67/500, Total Reward: -237.85362083401355
Episode 68/500, Total Reward: -205.15192626570786
Episode 69/500, Total Reward: -236.11438520888905
Episode 70/500, Total Reward: -14.391407844481932
Episode 71/500, Total Reward: -31.44732883237198
Episode 72/500, Total Reward: -83.0639113475439
Episode 73/500, Total Reward: -151.89617200921845
Episode 74/500, Total Reward: -291.9606148840404
Episode 75/500, Total Reward: -51.14895748996534
Episode 76/500, Total Reward: -36.19804453149881
Episode 77/500, Total Reward: -137.29106014966985
Episode 78/500, Total Reward: -164.6688781498121
Episode 79/500, Total Reward: -203.7222922378969
Episode 80/500, Total Reward: -230.61842868035995
Episode 81/500, Total Reward: -130.74165768281114
Episode 82/500, Total Reward: -23.750361560228356
Episode 83/500, Total Reward: -10.43356263124204
Episode 84/500, Total Reward: -73.2735061018058
Episode 85/500, Total Reward: -95.48053385233695
Episode 86/500, Total Reward: -69.92881608301303
Episode 87/500, Total Reward: -331.1080125600264
Episode 88/500, Total Reward: -396.9271373687918
Episode 89/500, Total Reward: -191.2183125197875
Episode 90/500, Total Reward: -179.68541433132907
Episode 91/500, Total Reward: -436.70957445432987
Episode 92/500, Total Reward: 61.26329839337701
Episode 93/500, Total Reward: -486.52617518162924
Episode 94/500, Total Reward: -3220.2249838856806
Episode 95/500, Total Reward: -177.67610262794273
Episode 96/500, Total Reward: -162.5934548064908
Episode 97/500, Total Reward: -128.021707963663
Episode 98/500, Total Reward: -114.9053625975446
Episode 99/500, Total Reward: -113.47162736082248
Episode 100/500, Total Reward: -129.53331350215134
Episode 101/500, Total Reward: 137.4179782024184
Episode 102/500, Total Reward: -115.71722929883968
Episode 103/500, Total Reward: -43.65095948606485
Episode 104/500, Total Reward: -393.41093281020045
Episode 105/500, Total Reward: -50.28134598537827
Episode 106/500, Total Reward: -312.88661769966257
Episode 107/500, Total Reward: -202.73376113546067
Episode 108/500, Total Reward: -33.5548998577071
Episode 109/500, Total Reward: -347.82278708916283
Episode 110/500, Total Reward: -185.22733327751058
Episode 111/500, Total Reward: -306.5095619202475
Episode 112/500, Total Reward: -582.2267751906945
Episode 113/500, Total Reward: -327.1224538253276
Episode 114/500, Total Reward: -246.18650536558738
Episode 115/500, Total Reward: -52.12154594559009
Episode 116/500, Total Reward: -198.59808824328883
Episode 117/500, Total Reward: -468.97409765031665
Episode 118/500, Total Reward: -128.57401772789842
Episode 119/500, Total Reward: -7.054022166313629
Episode 120/500, Total Reward: -436.62100523842787
Episode 121/500, Total Reward: -170.34986679904384
Episode 122/500, Total Reward: 204.78220860834202
Episode 123/500, Total Reward: -83.04634059396906
Episode 124/500, Total Reward: -161.32683962450812
Episode 125/500, Total Reward: -262.3185219105595
Episode 126/500, Total Reward: -216.8470426152884
Episode 127/500, Total Reward: 35.38781210044168
Episode 128/500, Total Reward: -419.9945712669164
Episode 129/500, Total Reward: 6.149290605705588
Episode 130/500, Total Reward: 184.8681706621138
Episode 131/500, Total Reward: -220.18196680672344
Episode 132/500, Total Reward: -319.87185738828873
Episode 133/500, Total Reward: -107.16141687299806
Episode 134/500, Total Reward: 17.51625279544369
Episode 135/500, Total Reward: -12.411175862902752
Episode 136/500, Total Reward: 180.72949276729184
Episode 137/500, Total Reward: -171.6161399080673
Episode 138/500, Total Reward: 188.52843673984194
Episode 139/500, Total Reward: -49.955841558602856
Episode 140/500, Total Reward: 250.99029779748966
Episode 141/500, Total Reward: -380.4353223203172
Episode 142/500, Total Reward: -156.9877420969259
Episode 143/500, Total Reward: -78.19157527481292
Episode 144/500, Total Reward: -325.8859143602974
Episode 145/500, Total Reward: -1118.4859703694706
Episode 146/500, Total Reward: -837.7389977310204
Episode 147/500, Total Reward: -2657.9609643507283
Episode 148/500, Total Reward: -200.06971943950776
Episode 149/500, Total Reward: -4965.244674515546
Episode 150/500, Total Reward: -2390.793840043668
Episode 151/500, Total Reward: -4460.510201352982
Episode 152/500, Total Reward: 123.63569667728103
Episode 153/500, Total Reward: -560.7175601727835
Episode 154/500, Total Reward: -437.7476571670566
Episode 155/500, Total Reward: -706.76610512059
Episode 156/500, Total Reward: -178.37614331691844
Episode 157/500, Total Reward: -4213.482787319679
Episode 158/500, Total Reward: -321.1218411623246
Episode 159/500, Total Reward: -117.08216354661018
Episode 160/500, Total Reward: -215.05941984781145
Episode 161/500, Total Reward: -137.15413770850728
Episode 162/500, Total Reward: -341.0904665037795
Episode 163/500, Total Reward: -84.22664987306919
Episode 164/500, Total Reward: -1484.0738589789391
Episode 165/500, Total Reward: 269.82006325933617
Episode 166/500, Total Reward: -16.99581048721815
Episode 167/500, Total Reward: -520.3657420288959
Episode 168/500, Total Reward: -760.5030426609861
Episode 169/500, Total Reward: -119.31926301078313
Episode 170/500, Total Reward: -548.5410414118467
Episode 171/500, Total Reward: -133.48239063959295
Episode 172/500, Total Reward: -345.6694528626523
Episode 173/500, Total Reward: -167.69534598192382
Episode 174/500, Total Reward: -828.7277032071272
Episode 175/500, Total Reward: -548.4142688883087
Episode 176/500, Total Reward: -227.68232362601015
Episode 177/500, Total Reward: -379.5445927352643
Episode 178/500, Total Reward: -201.42070052394547
Episode 179/500, Total Reward: -142.2508865634133
Episode 180/500, Total Reward: -129.96909513943174
Episode 181/500, Total Reward: -251.4186909752838
Episode 182/500, Total Reward: 268.9423395288876
Episode 183/500, Total Reward: -283.1757398679067
Episode 184/500, Total Reward: 14.605495591456787
Episode 185/500, Total Reward: -207.40737445722232
Episode 186/500, Total Reward: -1601.5713396539777
Episode 187/500, Total Reward: -722.2915081033981
Episode 188/500, Total Reward: -97.7010782836422
Episode 189/500, Total Reward: -464.4184168361067
Episode 190/500, Total Reward: -453.037525217569
Episode 191/500, Total Reward: -720.7160465266949
Episode 192/500, Total Reward: -475.4013702685694
Episode 193/500, Total Reward: -23.416976398810206
Episode 194/500, Total Reward: -585.3639755737785
Episode 195/500, Total Reward: -1860.6346660536278
Episode 196/500, Total Reward: -478.0124916901677
Episode 197/500, Total Reward: -616.9912710326125
Episode 198/500, Total Reward: -386.46760252644407
Episode 199/500, Total Reward: 36.739604363240375
Episode 200/500, Total Reward: -83.39022982195812
Episode 201/500, Total Reward: -98.81851520865779
Episode 202/500, Total Reward: -177.32795208277577
Episode 203/500, Total Reward: -358.0129007111238
Episode 204/500, Total Reward: -1752.2510259972241
Episode 205/500, Total Reward: -94.6622823321932
Episode 206/500, Total Reward: -43.61725127491219
Episode 207/500, Total Reward: -185.7643381585329
Episode 208/500, Total Reward: -213.88683222896094
Episode 209/500, Total Reward: -420.2656318693705
Episode 210/500, Total Reward: -152.2863178494123
Episode 211/500, Total Reward: -556.0244501329355
Episode 212/500, Total Reward: -226.94415875805734
Episode 213/500, Total Reward: -160.87241798932774
Episode 214/500, Total Reward: -129.28118916890415
Episode 215/500, Total Reward: -71.77272753003194
Episode 216/500, Total Reward: -1283.3973202464797
Episode 217/500, Total Reward: -183.035229601636
Episode 218/500, Total Reward: -232.1749240601164
Episode 219/500, Total Reward: -3596.348181738104
Episode 220/500, Total Reward: -397.38555158413425
Episode 221/500, Total Reward: -371.4232620024885
Episode 222/500, Total Reward: -520.838813713217
Episode 223/500, Total Reward: -2878.538907419562
Episode 224/500, Total Reward: 166.65274917332866
Episode 225/500, Total Reward: -163.0174510480108
Episode 226/500, Total Reward: -13.436342017779907
Episode 227/500, Total Reward: -115.54796939973951
Episode 228/500, Total Reward: -2331.906027875977
Episode 229/500, Total Reward: -116.42185018277438
Episode 230/500, Total Reward: -127.66281453476849
Episode 231/500, Total Reward: -166.2558808411692
Episode 232/500, Total Reward: -116.12025894035789
Episode 233/500, Total Reward: -440.0808709232921
Episode 234/500, Total Reward: -508.9676776621258
Episode 235/500, Total Reward: -47.2028195938442
Episode 236/500, Total Reward: -382.2033011132436
Episode 237/500, Total Reward: 187.1180288630481
Episode 238/500, Total Reward: -180.64925880523356
Episode 239/500, Total Reward: -121.44961290393043
Episode 240/500, Total Reward: -131.42557460439886
Episode 241/500, Total Reward: -182.9869287618996
Episode 242/500, Total Reward: -91.86609073268197
Episode 243/500, Total Reward: -395.2120813831549
Episode 244/500, Total Reward: -294.991013221942
Episode 245/500, Total Reward: -112.9615067891986
Episode 246/500, Total Reward: -250.59902343926217
Episode 247/500, Total Reward: 101.68024991874992
Episode 248/500, Total Reward: -114.72008439502261
Episode 249/500, Total Reward: 147.01772690171214
Episode 250/500, Total Reward: -243.26904533113617
Episode 251/500, Total Reward: -612.6771059411443
Episode 252/500, Total Reward: 216.57614798768915
Episode 253/500, Total Reward: 2.484239798109556
Episode 254/500, Total Reward: -7.486415842843755
Episode 255/500, Total Reward: -19.372068851253303
Episode 256/500, Total Reward: 196.2061641336084
Episode 257/500, Total Reward: -96.41251413997088
Episode 258/500, Total Reward: -109.62565534672827
Episode 259/500, Total Reward: -115.47189543104346
Episode 260/500, Total Reward: -70.0836388124282
Episode 261/500, Total Reward: -119.3074169631203
Episode 262/500, Total Reward: 41.55831360986309
Episode 263/500, Total Reward: 136.0795225553082
Episode 264/500, Total Reward: 15.786365156667358
Episode 265/500, Total Reward: -113.10727626327956
Episode 266/500, Total Reward: -49.82362558147139
Episode 267/500, Total Reward: -28.016384840396285
Episode 268/500, Total Reward: -55.54620673184225
Episode 269/500, Total Reward: -193.71334614787196
Episode 270/500, Total Reward: -70.92362077756314
Episode 271/500, Total Reward: -168.32507600831178
Episode 272/500, Total Reward: -175.87978214238277
Episode 273/500, Total Reward: -55.1699240201428
Episode 274/500, Total Reward: -199.82939753400842
Episode 275/500, Total Reward: -119.19754301579174
Episode 276/500, Total Reward: -142.51700221542706
Episode 277/500, Total Reward: -66.85768879895086
Episode 278/500, Total Reward: -40.677433847469146
Episode 279/500, Total Reward: -26.456692750583073
Episode 280/500, Total Reward: -83.12513745344796
Episode 281/500, Total Reward: -68.39944682209102
Episode 282/500, Total Reward: -141.55016846633566
Episode 283/500, Total Reward: -59.90023203975295
Episode 284/500, Total Reward: -30.165045627470974
Episode 285/500, Total Reward: -25.184682268041243
Episode 286/500, Total Reward: -153.61604477141395
Episode 287/500, Total Reward: -105.23086166300834
Episode 288/500, Total Reward: -54.33683123869463
Episode 289/500, Total Reward: -45.91568943705397
Episode 290/500, Total Reward: -109.14315978762173
Episode 291/500, Total Reward: -27.100414067734874
Episode 292/500, Total Reward: -280.78255003526067
Episode 293/500, Total Reward: -36.244990126360506
Episode 294/500, Total Reward: -27.866552168996378
Episode 295/500, Total Reward: -47.400749848511836
Episode 296/500, Total Reward: -54.08173601241029
Episode 297/500, Total Reward: -127.20246761620425
Episode 298/500, Total Reward: -2.4481862022207252
Episode 299/500, Total Reward: -217.18259469004272
Episode 300/500, Total Reward: 216.93932770498046
Episode 301/500, Total Reward: -9.519423017108295
Episode 302/500, Total Reward: -178.0581465609767
Episode 303/500, Total Reward: -4.869207417456067
Episode 304/500, Total Reward: -95.93536184057909
Episode 305/500, Total Reward: -15.175370780452496
Episode 306/500, Total Reward: -191.6895121964394
Episode 307/500, Total Reward: 33.304127072982766
Episode 308/500, Total Reward: -25.555147423555084
Episode 309/500, Total Reward: -95.21369283194481
Episode 310/500, Total Reward: -44.26281506074581
Episode 311/500, Total Reward: -44.155242835300896
Episode 312/500, Total Reward: -36.861907638077966
Episode 313/500, Total Reward: -54.60272710392742
Episode 314/500, Total Reward: -35.406588475761936
Episode 315/500, Total Reward: -11.215164222251033
Episode 316/500, Total Reward: -376.25721421720516
Episode 317/500, Total Reward: -44.5907307738878
Episode 318/500, Total Reward: 8.32983359802003
Episode 319/500, Total Reward: 12.83109674664135
Episode 320/500, Total Reward: -53.79755951191027
Episode 321/500, Total Reward: -113.86352062003903
Episode 322/500, Total Reward: -288.9749848072553
Episode 323/500, Total Reward: -15.185788260622587
Episode 324/500, Total Reward: -21.323505074104972
Episode 325/500, Total Reward: 3.6995824691056214
Episode 326/500, Total Reward: -76.55618162975388
Episode 327/500, Total Reward: -79.6232063187333
Episode 328/500, Total Reward: -25.909962403484528
Episode 329/500, Total Reward: -15.649169060400567
Episode 330/500, Total Reward: -88.18611135894677
Episode 331/500, Total Reward: -4.712424694249265
Episode 332/500, Total Reward: -62.7571694804256
Episode 333/500, Total Reward: -115.57790509487523
Episode 334/500, Total Reward: -225.27665371219487
Episode 335/500, Total Reward: -5.474565573980755
Episode 336/500, Total Reward: -106.86989844443116
Episode 337/500, Total Reward: 0.43500238244506306
Episode 338/500, Total Reward: -25.7974975182738
Episode 339/500, Total Reward: -4.566683156191829
Episode 340/500, Total Reward: -35.50837990870549
Episode 341/500, Total Reward: -62.55060743502416
Episode 342/500, Total Reward: -43.1725383437753
Episode 343/500, Total Reward: -56.66142113886677
Episode 344/500, Total Reward: -94.51417733575803
Episode 345/500, Total Reward: -71.60282017860996
Episode 346/500, Total Reward: -31.20487706815858
Episode 347/500, Total Reward: -36.79911734892948
Episode 348/500, Total Reward: -90.45893865823614
Episode 349/500, Total Reward: -28.253990218310392
Episode 350/500, Total Reward: 6.5396535161771965
Episode 351/500, Total Reward: 26.32220096401555
Episode 352/500, Total Reward: -68.00610905415436
Episode 353/500, Total Reward: 266.48430313129325
Episode 354/500, Total Reward: -17.999267721619148
Episode 355/500, Total Reward: -41.21737173409045
Episode 356/500, Total Reward: -0.15514751791340586
Episode 357/500, Total Reward: -7.243366888078626
Episode 358/500, Total Reward: -38.85079766506625
Episode 359/500, Total Reward: -43.5213047522479
Episode 360/500, Total Reward: -29.255474892603374
Episode 361/500, Total Reward: -34.99662434610826
Episode 362/500, Total Reward: 248.8340348069431
Episode 363/500, Total Reward: -16.367020113657986
Episode 364/500, Total Reward: 235.14930442104935
Episode 365/500, Total Reward: 7.013347077311238
Episode 366/500, Total Reward: -55.59884924531393
Episode 367/500, Total Reward: -63.26978144448229
Episode 368/500, Total Reward: -74.29114453899682
Episode 369/500, Total Reward: -59.00345767263847
Episode 370/500, Total Reward: -78.42632495941852
Episode 371/500, Total Reward: 12.701848539137728
Episode 372/500, Total Reward: 236.2631531769033
Episode 373/500, Total Reward: -50.55316252241617
Episode 374/500, Total Reward: 272.6395987375888
Episode 375/500, Total Reward: -139.01210307308776
Episode 376/500, Total Reward: -51.30052151905686
Episode 377/500, Total Reward: 255.11080775469756
Episode 378/500, Total Reward: 15.54466169330162
Episode 379/500, Total Reward: -26.752077791960872
Episode 380/500, Total Reward: -23.755035939069245
Episode 381/500, Total Reward: 294.28899069460476
Episode 382/500, Total Reward: 2.932973688914828
Episode 383/500, Total Reward: -5.730108834830531
Episode 384/500, Total Reward: 172.3293595703186
Episode 385/500, Total Reward: -36.28837435308161
Episode 386/500, Total Reward: -79.25688010495347
Episode 387/500, Total Reward: -10.348507472101161
Episode 388/500, Total Reward: -63.899658204596726
Episode 389/500, Total Reward: -12.192490938598965
Episode 390/500, Total Reward: 6.690982256044137
Episode 391/500, Total Reward: -117.48439101418917
Episode 392/500, Total Reward: 222.10895680308653
Episode 393/500, Total Reward: -44.43491387125294
Episode 394/500, Total Reward: -19.36267828913398
Episode 395/500, Total Reward: -15.643114351486432
Episode 396/500, Total Reward: 25.351269174634893
Episode 397/500, Total Reward: 206.76772946138684
Episode 398/500, Total Reward: -32.75011427141516
Episode 399/500, Total Reward: 20.87991564861521
Episode 400/500, Total Reward: 208.21178893265375
Episode 401/500, Total Reward: 44.158026476845095
Episode 402/500, Total Reward: -22.06510693950986
Episode 403/500, Total Reward: 224.3331707828429
Episode 404/500, Total Reward: -56.64962225879643
Episode 405/500, Total Reward: 15.222366387183484
Episode 406/500, Total Reward: -186.0227331459783
Episode 407/500, Total Reward: -30.98759341279525
Episode 408/500, Total Reward: -104.99297516545685
Episode 409/500, Total Reward: 6.955156281017935
Episode 410/500, Total Reward: -483.765102779355
Episode 411/500, Total Reward: 265.0575956884127
Episode 412/500, Total Reward: -199.24078601841663
Episode 413/500, Total Reward: 24.6229668374136
Episode 414/500, Total Reward: 233.06362292572672
Episode 415/500, Total Reward: -36.37302567001342
Episode 416/500, Total Reward: -26.78120682097456
Episode 417/500, Total Reward: -52.57613291338143
Episode 418/500, Total Reward: -103.47301590697145
Episode 419/500, Total Reward: 15.876023307746252
Episode 420/500, Total Reward: 1.4657283425628123
Episode 421/500, Total Reward: 1.7215545134954766
Episode 422/500, Total Reward: -7.566926593917117
Episode 423/500, Total Reward: -35.60117881892822
Episode 424/500, Total Reward: -102.48068894008851
Episode 425/500, Total Reward: -34.6476759445021
Episode 426/500, Total Reward: 26.74680291418551
Episode 427/500, Total Reward: -10.349011762911104
Episode 428/500, Total Reward: 3.3559125381811583
Episode 429/500, Total Reward: -72.97947602982053
Episode 430/500, Total Reward: 235.7997319969237
Episode 431/500, Total Reward: 260.7388115498447
Episode 432/500, Total Reward: -20.983762267406206
Episode 433/500, Total Reward: -32.24758490053915
Episode 434/500, Total Reward: -77.61943820311112
Episode 435/500, Total Reward: 46.81575670600458
Episode 436/500, Total Reward: 30.87815628982176
Episode 437/500, Total Reward: -298.52787288243604
Episode 438/500, Total Reward: -66.86711831224409
Episode 439/500, Total Reward: -21.297687083083645
Episode 440/500, Total Reward: -93.24348254961212
Episode 441/500, Total Reward: -106.90270638935411
Episode 442/500, Total Reward: 181.46767534121958
Episode 443/500, Total Reward: -5.903847004868197
Episode 444/500, Total Reward: 287.0981698357544
Episode 445/500, Total Reward: -313.9951182000235
Episode 446/500, Total Reward: -138.1365360176894
Episode 447/500, Total Reward: -207.3506393619848
Episode 448/500, Total Reward: 260.7622032936782
Episode 449/500, Total Reward: -146.28082949280906
Episode 450/500, Total Reward: 216.91212700891782
Episode 451/500, Total Reward: -7.756010550174111
Episode 452/500, Total Reward: 164.44839779354504
Episode 453/500, Total Reward: 245.1898580156946
Episode 454/500, Total Reward: 222.7181471244259
Episode 455/500, Total Reward: -19.441163044172242
Episode 456/500, Total Reward: 30.469079999966738
Episode 457/500, Total Reward: -152.4236833281309
Episode 458/500, Total Reward: -105.9826105376504
Episode 459/500, Total Reward: 202.5205787651392
Episode 460/500, Total Reward: -191.86844948467166
Episode 461/500, Total Reward: -813.4333251240855
Episode 462/500, Total Reward: 15.887346238774484
Episode 463/500, Total Reward: 20.589960320705742
Episode 464/500, Total Reward: 233.6564007304107
Episode 465/500, Total Reward: 30.17582810963779
Episode 466/500, Total Reward: 187.1788453533382
Episode 467/500, Total Reward: 257.90613850823394
Episode 468/500, Total Reward: -735.2342016388153
Episode 469/500, Total Reward: -230.6671170372018
Episode 470/500, Total Reward: -216.29506121612752
Episode 471/500, Total Reward: 241.3544323076837
Episode 472/500, Total Reward: 138.7809633632515
Episode 473/500, Total Reward: -11.028228321513453
Episode 474/500, Total Reward: -412.0126607743698
Episode 475/500, Total Reward: 56.90646897541933
Episode 476/500, Total Reward: -166.08834564309421
Episode 477/500, Total Reward: 213.687023943528
Episode 478/500, Total Reward: -28.17468506930682
Episode 479/500, Total Reward: 224.70583638841293
Episode 480/500, Total Reward: -366.3990273296145
Episode 481/500, Total Reward: -79.37332277526606
Episode 482/500, Total Reward: -111.03124902945635
Episode 483/500, Total Reward: -470.38987463555924
Episode 484/500, Total Reward: 230.7769907197975
Episode 485/500, Total Reward: -133.78008416698145
Episode 486/500, Total Reward: -124.80803734163399
Episode 487/500, Total Reward: -133.076578359765
Episode 488/500, Total Reward: -163.3064419655827
Episode 489/500, Total Reward: -153.81695262740175
Episode 490/500, Total Reward: -177.59473228281198
Episode 491/500, Total Reward: 221.41050421348007
Episode 492/500, Total Reward: -50.740065496913886
Episode 493/500, Total Reward: -214.37714878030602
Episode 494/500, Total Reward: -31.445936066480158
Episode 495/500, Total Reward: 265.72018382483736
Episode 496/500, Total Reward: 279.9974223978719
Episode 497/500, Total Reward: -0.4334180617935317
Episode 498/500, Total Reward: -154.67724450836522
Episode 499/500, Total Reward: -179.9937435165122
Episode 500/500, Total Reward: 246.5957904231895